PP04B_COD,Actividad
1.0,"Agricultura, Ganadería, Caza y Actividades de Apoyo"
101.0,Cultivos agrícolas
102.0,Cría de animales
103.0,Cultivo de productos agrícolas en combinación con la cría de animales
104.0,"Servicios agrícolas y pecuarios, excepto los veterinarios"
105.0,"Caza y captura de animales vivos, repoblación de animales de caza y servicios de apoyo"
2.0,"Silvicultura, Extracción de Madera y Actividades de Apoyo"
200.0,"Silvicultura, extracción de madera y actividades de apoyo"
3.0,"Pesca, Acuicultura y Actividades de Apoyo"
300.0,"Pesca, acuicultura y actividades de apoyo"
5.0,Extracción de Carbón y Lignito
500.0,Extracción de carbón y lignito
6.0,Extracción de Petróleo Crudo y Gas Natural
600.0,Extracción de petróleo crudo y gas natural
7.0,Extracción de Minerales Metalíferos
700.0,Extracción de minerales metalíferos
8.0,Explotación de otras Minas y Canteras
800.0,Explotación de otras minas y canteras
9.0,Actividades de Apoyo a la Explotación de Minas y Canteras
900.0,Actividades de apoyo a la explotación de minas y canteras
10.0,Elaboración de Productos Alimenticios
1001.0,Elaboración de Productos Alimenticios
1002.0,Elaboración de Productos Alimenticios
1003.0,Elaboración de Productos Alimenticios
1009.0,Elaboración de Productos Alimenticios
101.0,Producción y procesamiento de carne y pescado
102.0,"Preparación de frutas, hortalizas y legumbres; aceites y grasas"
103.0,Elaboración de productos lácteos
109.0,Elaboración de productos alimenticios n.c.p.
11.0,Elaboración de Bebidas
1100.0,Elaboración de bebidas
12.0,Elaboración de Productos de Tabaco
1200.0,Elaboración de productos de tabaco
13.0,"Fabricación de Productos Textiles, excepto Prendas de Vestir"
1300.0,"Fabricación de productos textiles, excepto prendas de vestir"
14.0,"Confección de Prendas de Vestir, Terminación y Teñido de Pieles"
1400.0,"Confección de prendas de vestir, terminación y teñido de pieles"
15.0,Fabricación de Cuero y Productos Conexos
1501.0,"Curtido y terminación de cueros; fabricación de maletas, bolsos de mano y artículos de talabartería y guarnicionería; teñido de pieles"
1502.0,Fabricación de calzado y sus partes
16.0,"Producción de Madera y Fabricación de Productos de Madera y Corcho, excepto Muebles; Fabricación de Artículos de Paja y de Materiales Trenzables"
1600.0,"Producción de madera y fabricación de productos de madera y corcho, excepto muebles;fabricación de artículos de paja y de materiales trenzables"
17.0,Fabricación de Papel y Productos de Papel
1700.0,Fabricación de papel y productos de papel
18.0,Actividades de Impresión y Servicios de Apoyo; Reproducción de Grabaciones
1800.0,Actividades de impresión y servicios de apoyo; reproducción de grabaciones
19.0,Fabricación de coque y de productos de la refinación del petróleo
1901.0,Fabricación de productos de hornos de coque
1902.0,Fabricación de productos de la refinación del petróleo
20.0,Fabricación de Sustancias y Productos Químicos
2001.0,Fabricación de Sustancias y Productos Químicos
2002.0,Fabricación de Sustancias y Productos Químicos
2009.0,Fabricación de Sustancias y Productos Químicos
201.0,"Fabricación de pinturas, barnices y productos de revestimiento similares, tintas de imprentay masillas"
202.0,"Fabricación de jabones y detergentes, preparados para limpiar y pulir, perfumes y preparados de tocador"
209.0,Fabricación de otros productos químicos n.c.p. Productos Botánicos
21.0,"Fabricación de productos farmacéuticos, sustancias químicas medicinales y productos botánicos"
2100.0,"Fabricación de productos farmacéuticos, sustancias químicas medicinales y productos botánicos"
22.0,Fabricación de Productos de Caucho y Plástico
2201.0,Fabricación de productos de caucho
2202.0,Fabricación de productos de plástico
23.0,Fabricación de Productos de Minerales No Metálicos
2301.0,Fabricación de vidrio y productos de vidrio
2309.0,Fabricación de productos minerales no metálicos n.c.p.
24.0,Fabricación de Metales
2400.0,Fabricación de metales
25.0,"Fabricación de Productos Elaborados de Metal y Servicios de Trabajos de Metales, excepto Máquinas y Equipos"
2500.0,"Fabricación de productos elaborados de metal y servicios de trabajos de metales, excepto máquinas y equipos"
26.0,"Fabricación de Equipos Informáticos, Electrónicos y Ópticos"
2601.0,Fabricación de componentes electrónicos
2602.0,Fabricación de equipos informáticos y periféricos
2603.0,"Fabricación de equipos y aparatos de radio, televisión y comunicaciones"
2604.0,"Fabricación de equipos electromédicos, ópticos y de precisión; fabricación de relojes; soportes magnéticos y ópticos"
27.0,Fabricación de Maquinaria y Equipos Eléctricos
2701.0,"Fabricación de aparatos de uso doméstico, excepto equipos de audio y video"
2709.0,Fabricación de otras maquinarias y equipos eléctricos n.c.p.
28.0,Fabricación de Maquinarias y Equipos n.c.p.
2800.0,Fabricación de maquinarias y equipos n.c.p.
29.0,"Fabricación de Vehículos Automotores, Remolques y Semirremolques"
2900.0,"Fabricación de vehículos automotores, remolques y semirremolques"
30.0,Fabricación de Otros Equipos de Transporte n.c.p.
3001.0,Fabricación de Otros Equipos de Transporte n.c.p.
3003.0,Fabricación de Otros Equipos de Transporte n.c.p.
3009.0,Fabricación de Otros Equipos de Transporte n.c.p.
301.0,Construcción de buques y otras embarcaciones
302.0,Fabricación de locomotoras y de material rodante para ferrocarriles y tranvías
303.0,Fabricación de aeronaves
309.0,Fabricación de otros equipos de transporte n.c.p.
31.0,Fabricación de Muebles y Colchones
3100.0,Fabricación de muebles y colchones
32.0,Industrias Manufactureras n.c.p.
3200.0,Industrias manufactureras n.c.p.
33.0,"Mantenimiento, Reparación e Instalación de Máquinas y Equipos"
3300.0,"Mantenimiento, reparación e instalación de máquinas y equipos"
35.0,"Electricidad, Gas, Vapor y Aire Acondicionado"
3501.0,"Generación, transmisión y distribución de energía eléctrica"
3502.0,Fabricación de gas; distribución de combustibles gaseosos por tuberías; suministro de vapor y aire acondicionado
36.0,"Captación, Tratamiento y Suministro de Agua"
3600.0,"Captación, tratamiento y suministro de agua"
37.0,Alcantarillado
3700.0,Alcantarillado
38.0,"Recolección, Tratamiento y Eliminación de Desechos; Recuperación de Materiales"
3800.0,"Recolección, tratamiento y eliminación de desechos; recuperación de materiales"
